1.0.4_cn
date crashnum devicenum
total 148 105
2012-08-07 24 15
2012-08-06 47 29
2012-08-05 29 24
2012-08-04 9 6
2012-08-03 17 12
2012-08-02 22 19
1.0.4_en
date crashnum devicenum
total 866 694
2012-08-07 180 150
2012-08-06 178 145
2012-08-05 322 260
2012-08-04 119 89
2012-08-03 18 16
2012-08-02 48 34
2012-08-01 1 0
1.0.3_cn
date crashnum
total 339
2012-08-07 3
2012-08-06 11
2012-08-05 21
2012-08-04 15
2012-08-03 20
2012-08-02 24
2012-08-01 37
2012-07-31 48
2012-07-30 42
2012-07-29 32
2012-07-28 52
2012-07-27 34
1.0.3_en
date crashnum
total 768
2012-08-07 40
2012-08-06 87
2012-08-05 45
2012-08-04 84
2012-08-03 122
2012-08-02 188
2012-08-01 202
